transaction_id,customer_id,product_id,product_name,category,quantity_sold,unit_price,transaction_date,store_id,store_location,inventory_level,reorder_point,reorder_quantity,supplier_id,supplier_lead_time,customer_age,customer_gender,customer_income,customer_loyalty_level,payment_method,promotion_applied,promotion_type,weather_conditions,holiday_indicator,weekday,stockout_indicator,forecasted_demand,actual_demand
15,9463,2910,Colgate Whitening Strips,Teeth Whitening,9,25.0,2023-05-26,6562,Wilsontown,272,35,250,9510,3,27,Female,72094,Gold,Credit Card,False,Buy One Get One,Sunny,True,Friday,True,110,138
16,3069,761,Colgate Mouthwash,Mouthwash,1,5.0,2023-05-15,1359,Callahanmouth,124,42,264,9867,6,44,Male,59038,Gold,Mobile Payment,True,Discount,Sunny,False,Monday,True,57,93
17,9709,6575,Colgate Whitening Strips,Teeth Whitening,9,25.0,2024-12-18,1836,Foxport,233,29,207,2969,12,63,Male,93899,Platinum,Debit Card,False,Discount,Rainy,False,Wednesday,False,50,118
18,6645,528,Colgate Toothbrush,Toothbrush,1,2.0,2023-06-24,7931,Hallshire,368,40,118,7589,10,63,Male,80760,Platinum,Cash,True,Buy One Get One,Snowy,False,Saturday,False,117,44
19,3234,4160,Colgate Whitening Strips,Teeth Whitening,3,25.0,2024-03-29,2299,New Andrew,227,44,172,5687,14,67,Female,51197,Platinum,Debit Card,False,Discount,Snowy,False,Friday,False,84,133
20,4099,5436,Colgate Whitening Strips,Teeth Whitening,7,25.0,2023-09-29,9047,Keithbury,387,41,139,5082,3,70,Other,72803,Platinum,Cash,True,None,Sunny,False,Friday,False,71,106
21,4992,936,Colgate Toothbrush,Toothbrush,9,2.0,2023-04-13,1606,Millerland,141,29,154,6252,10,53,Male,114250,Bronze,Mobile Payment,False,None,Sunny,False,Thursday,False,99,64
22,329,1733,Colgate Whitening Strips,Teeth Whitening,2,25.0,2024-07-11,8850,Charlesmouth,117,40,253,5124,13,22,Female,101701,Bronze,Credit Card,True,Discount,Rainy,False,Thursday,False,105,123
23,7552,8369,Colgate Mouthwash,Mouthwash,5,5.0,2023-03-09,6887,Jasonside,292,49,235,1156,7,56,Female,25459,Gold,Cash,False,Discount,Sunny,False,Thursday,True,133,122
24,3181,927,Colgate Mouthwash,Mouthwash,1,5.0,2024-06-02,4643,Josephville,207,32,122,7628,13,22,Other,38736,Silver,Credit Card,False,Discount,Snowy,True,Sunday,True,117,49
25,2268,7653,Colgate Mouthwash,Mouthwash,7,5.0,2024-04-01,6978,Garciaberg,388,49,265,3432,14,67,Other,49069,Bronze,Mobile Payment,True,Discount,Rainy,False,Monday,False,90,64
26,8385,9503,Colgate Whitening Strips,Teeth Whitening,9,25.0,2023-10-16,9700,Ruizmouth,468,45,213,7021,4,59,Male,94851,Silver,Debit Card,False,Discount,Cloudy,False,Monday,True,119,55
27,5026,6888,Colgate Toothbrush,Toothbrush,7,2.0,2023-12-03,4319,Angelahaven,473,42,216,9480,9,39,Other,85911,Platinum,Debit Card,False,None,Rainy,True,Sunday,True,100,46
28,7740,5208,Colgate Toothpaste,Toothpaste,7,3.5,2023-03-12,5804,Lake Brendaport,393,47,178,40,6,19,Female,117185,Silver,Mobile Payment,False,Buy One Get One,Sunny,False,Sunday,True,94,118
29,7296,7087,Colgate Toothpaste,Toothpaste,9,3.5,2023-09-19,4298,Jasontown,366,37,159,7954,12,67,Other,105879,Gold,Credit Card,True,Buy One Get One,Sunny,True,Tuesday,True,134,82
30,8701,7255,Colgate Toothbrush,Toothbrush,4,2.0,2023-07-16,2016,North Petermouth,103,20,101,6866,4,67,Other,63464,Platinum,Cash,True,None,Cloudy,False,Sunday,False,50,101
31,4584,5452,Colgate Whitening Strips,Teeth Whitening,5,25.0,2025-01-05,26,Port Shawnland,363,27,201,5321,4,35,Male,33768,Platinum,Mobile Payment,True,Discount,Rainy,True,Sunday,False,90,107
32,167,6073,Colgate Whitening Strips,Teeth Whitening,2,25.0,2023-12-11,8826,Angelaburgh,138,44,210,405,12,37,Male,78049,Platinum,Credit Card,True,Buy One Get One,Sunny,True,Monday,False,110,74
33,3550,3733,Colgate Mouthwash,Mouthwash,1,5.0,2024-01-27,1113,Derrickbury,115,49,250,8031,9,40,Other,98386,Gold,Debit Card,False,None,Cloudy,False,Saturday,False,148,60
34,6691,762,Colgate Toothbrush,Toothbrush,2,2.0,2024-09-11,2138,Coleberg,104,44,292,5645,7,68,Other,29827,Platinum,Debit Card,True,Buy One Get One,Snowy,False,Wednesday,False,79,111
35,5398,7968,Colgate Whitening Strips,Teeth Whitening,5,25.0,2023-02-10,8912,Sarahfort,210,21,168,3224,8,32,Other,72971,Gold,Credit Card,True,None,Snowy,True,Friday,True,105,73
36,7984,7778,Colgate Toothbrush,Toothbrush,4,2.0,2024-07-11,6524,Port Virginiaborough,266,45,182,300,13,35,Male,114899,Gold,Credit Card,False,Discount,Sunny,True,Thursday,False,122,135
37,2932,8322,Colgate Mouthwash,Mouthwash,1,5.0,2023-12-21,468,Port Brendamouth,476,25,235,7137,14,45,Other,48887,Gold,Cash,False,None,Rainy,False,Thursday,True,123,45
38,6502,2032,Colgate Mouthwash,Mouthwash,5,5.0,2024-10-03,7835,Guzmanstad,299,46,127,6993,13,46,Female,77190,Gold,Cash,True,Discount,Cloudy,True,Thursday,True,86,130
39,7869,9329,Colgate Toothpaste,Toothpaste,7,3.5,2024-03-07,7473,Cobbfort,388,50,173,7896,4,20,Other,81928,Bronze,Debit Card,True,None,Snowy,True,Thursday,True,138,120
40,8343,7266,Colgate Mouthwash,Mouthwash,9,5.0,2023-02-10,2427,Sextonside,441,36,254,7788,12,59,Other,64572,Silver,Mobile Payment,False,Discount,Rainy,True,Friday,False,141,68
41,2540,1731,Colgate Mouthwash,Mouthwash,6,5.0,2024-06-19,9620,South Cole,261,37,234,2198,2,53,Female,82733,Bronze,Mobile Payment,True,Buy One Get One,Cloudy,True,Wednesday,False,50,97
42,8925,7692,Colgate Toothbrush,Toothbrush,4,2.0,2024-09-02,4174,Lake Colleenfurt,500,34,127,2260,9,45,Male,65995,Gold,Debit Card,False,Buy One Get One,Rainy,True,Monday,True,121,92
43,9746,1027,Colgate Whitening Strips,Teeth Whitening,9,25.0,2024-11-16,9964,West Timothyhaven,276,21,217,7112,11,45,Other,66148,Bronze,Mobile Payment,False,None,Sunny,True,Saturday,True,60,45
44,840,3045,Colgate Toothpaste,Toothpaste,9,3.5,2024-05-27,1351,Wintersmouth,270,33,251,6381,7,36,Female,111310,Bronze,Mobile Payment,False,Discount,Rainy,False,Monday,True,118,84
45,6701,5164,Colgate Toothbrush,Toothbrush,6,2.0,2023-02-18,9362,Tinamouth,434,40,150,3738,3,29,Male,64624,Bronze,Debit Card,True,Buy One Get One,Cloudy,True,Saturday,True,122,86
46,4,1513,Colgate Toothpaste,Toothpaste,5,3.5,2023-12-31,1649,West Darius,383,31,214,8771,9,65,Male,22521,Platinum,Mobile Payment,True,None,Rainy,True,Sunday,False,73,109
47,4055,3148,Colgate Toothpaste,Toothpaste,3,3.5,2024-08-25,1044,Lake Carolyn,170,47,230,1826,11,51,Male,55523,Bronze,Cash,True,Buy One Get One,Sunny,False,Sunday,False,121,132
48,2504,8537,Colgate Toothbrush,Toothbrush,6,2.0,2023-06-27,6817,West Russelltown,330,22,104,6868,12,31,Female,23877,Silver,Debit Card,True,Buy One Get One,Rainy,False,Tuesday,True,67,99
49,7785,4200,Colgate Toothpaste,Toothpaste,9,3.5,2023-07-28,3243,West Sarah,101,33,120,7355,13,65,Male,28650,Gold,Credit Card,False,Discount,Snowy,True,Friday,False,134,57
50,8380,4719,Colgate Mouthwash,Mouthwash,3,5.0,2023-03-24,8930,Lake Robert,260,26,284,531,11,70,Female,49888,Platinum,Credit Card,False,Discount,Sunny,False,Friday,True,101,92
51,6493,3852,Colgate Whitening Strips,Teeth Whitening,5,25.0,2024-10-14,6265,North Heatherland,327,34,171,2611,4,29,Male,97437,Silver,Mobile Payment,False,Discount,Cloudy,True,Monday,False,114,94
52,3443,4680,Colgate Toothbrush,Toothbrush,9,2.0,2023-05-12,6924,New Matthewland,174,24,239,10,4,68,Male,116612,Gold,Credit Card,False,Discount,Snowy,True,Friday,True,83,117
53,7864,8849,Colgate Whitening Strips,Teeth Whitening,7,25.0,2024-12-24,3012,Turnerside,264,22,192,3319,6,70,Male,71620,Silver,Mobile Payment,False,Discount,Rainy,True,Tuesday,True,128,44
54,9914,4168,Colgate Toothbrush,Toothbrush,9,2.0,2024-11-21,3044,Kylefurt,491,44,161,9726,3,34,Female,106918,Gold,Cash,True,None,Cloudy,False,Thursday,True,122,114
55,5222,8618,Colgate Whitening Strips,Teeth Whitening,2,25.0,2024-12-31,3189,Kingmouth,66,34,219,9532,8,54,Female,84361,Silver,Cash,False,Discount,Sunny,False,Tuesday,True,76,53
56,4689,152,Colgate Toothbrush,Toothbrush,1,2.0,2023-03-01,6636,North Joshua,167,41,106,6496,7,18,Female,96807,Silver,Debit Card,True,Discount,Sunny,False,Wednesday,True,134,56
57,2648,8402,Colgate Toothpaste,Toothpaste,9,3.5,2024-10-15,392,Rogershaven,314,34,248,4496,5,50,Male,43675,Silver,Debit Card,False,None,Rainy,True,Tuesday,False,89,132
58,6235,1039,Colgate Toothpaste,Toothpaste,3,3.5,2024-02-29,252,East Amy,310,26,268,3623,8,51,Other,116357,Platinum,Debit Card,False,None,Snowy,False,Thursday,False,111,68
59,1304,7236,Colgate Toothpaste,Toothpaste,3,3.5,2024-01-31,4187,East Annfort,60,25,211,762,13,57,Female,68056,Gold,Mobile Payment,True,Discount,Sunny,False,Wednesday,True,82,94
60,3954,3507,Colgate Toothbrush,Toothbrush,1,2.0,2023-12-17,8694,Garciashire,252,37,269,491,13,23,Male,92388,Silver,Debit Card,True,Discount,Snowy,False,Sunday,True,60,62
61,4268,4336,Colgate Mouthwash,Mouthwash,5,5.0,2024-07-05,606,Alyssaview,133,42,281,9872,11,28,Male,94365,Silver,Credit Card,False,Discount,Rainy,False,Friday,False,136,51
62,7753,6207,Colgate Mouthwash,Mouthwash,9,5.0,2024-10-13,4039,Benjaminside,420,44,171,9702,4,49,Male,42873,Gold,Credit Card,False,Buy One Get One,Rainy,True,Sunday,True,54,49
63,9269,6955,Colgate Whitening Strips,Teeth Whitening,10,25.0,2023-11-15,882,Ronnieborough,290,27,252,5303,12,33,Female,88620,Bronze,Mobile Payment,True,None,Sunny,False,Wednesday,True,74,97
64,2047,6005,Colgate Mouthwash,Mouthwash,3,5.0,2024-01-10,569,Fernandomouth,457,34,139,9417,2,32,Other,95828,Silver,Mobile Payment,True,None,Rainy,True,Wednesday,False,148,126
65,5374,447,Colgate Whitening Strips,Teeth Whitening,5,25.0,2024-05-14,3272,Leeburgh,400,50,129,5595,7,47,Other,32736,Platinum,Debit Card,True,None,Sunny,True,Tuesday,True,110,119
66,2002,1751,Colgate Mouthwash,Mouthwash,8,5.0,2024-04-28,8923,Jameschester,150,40,272,5057,10,32,Male,114701,Silver,Credit Card,False,Discount,Snowy,True,Sunday,True,119,50
67,4150,6325,Colgate Mouthwash,Mouthwash,8,5.0,2023-04-02,7943,Port Frederick,163,45,219,9835,10,53,Other,37858,Gold,Debit Card,True,Buy One Get One,Snowy,False,Sunday,True,76,61
68,8240,7813,Colgate Whitening Strips,Teeth Whitening,1,25.0,2024-10-27,7562,West Miranda,269,43,289,746,13,58,Other,43025,Silver,Debit Card,True,Buy One Get One,Sunny,False,Sunday,True,115,58
69,5844,4654,Colgate Toothbrush,Toothbrush,1,2.0,2024-08-05,9190,Stevenborough,90,31,199,8714,3,19,Other,75309,Gold,Cash,True,None,Snowy,True,Monday,True,80,106
70,6196,1288,Colgate Mouthwash,Mouthwash,2,5.0,2025-01-09,3469,Robertsonshire,228,25,201,4213,9,50,Other,98128,Silver,Debit Card,False,Buy One Get One,Cloudy,True,Thursday,True,107,127
71,8457,5043,Colgate Toothpaste,Toothpaste,10,3.5,2024-09-03,8512,Prestonstad,275,30,208,4868,2,28,Other,93220,Bronze,Credit Card,True,None,Cloudy,False,Tuesday,False,55,84
72,7559,1251,Colgate Toothbrush,Toothbrush,9,2.0,2024-05-08,554,West Desiree,67,36,118,2044,12,42,Male,22977,Silver,Mobile Payment,True,Discount,Rainy,True,Wednesday,True,144,45
73,224,58,Colgate Toothbrush,Toothbrush,8,2.0,2024-06-27,167,Jimmyshire,233,24,294,794,6,37,Other,70050,Bronze,Cash,False,Discount,Rainy,True,Thursday,True,125,68
74,6975,6834,Colgate Toothpaste,Toothpaste,9,3.5,2024-03-04,2040,Rowlandchester,464,38,214,7200,2,49,Other,55872,Silver,Mobile Payment,True,None,Snowy,True,Monday,True,129,124
75,4874,6373,Colgate Mouthwash,Mouthwash,7,5.0,2024-01-16,8256,Ballton,449,26,141,8354,9,38,Male,111137,Platinum,Debit Card,True,None,Cloudy,True,Tuesday,False,62,97
76,9403,6098,Colgate Toothbrush,Toothbrush,9,2.0,2024-11-03,5287,Martinstad,118,45,117,4742,2,31,Female,33213,Silver,Credit Card,False,Buy One Get One,Rainy,False,Sunday,True,95,119
77,4482,4994,Colgate Toothbrush,Toothbrush,6,2.0,2024-05-21,5384,Lake Scottmouth,58,28,112,7229,11,67,Female,114119,Platinum,Mobile Payment,False,None,Sunny,False,Tuesday,False,122,127
78,9439,2397,Colgate Mouthwash,Mouthwash,5,5.0,2023-01-30,9596,South Kellyton,478,26,178,13,10,28,Male,39665,Bronze,Debit Card,False,None,Cloudy,True,Monday,True,146,102
79,7548,9322,Colgate Toothpaste,Toothpaste,2,3.5,2023-10-03,3585,Mannberg,159,50,153,8950,14,21,Other,50614,Bronze,Mobile Payment,True,None,Snowy,True,Tuesday,False,68,102
80,6008,9529,Colgate Toothpaste,Toothpaste,10,3.5,2024-01-01,6084,Andersonchester,345,35,239,4939,12,25,Female,103281,Silver,Cash,False,Discount,Snowy,False,Monday,False,50,125
81,4402,6918,Colgate Whitening Strips,Teeth Whitening,5,25.0,2023-05-14,3988,Grossburgh,217,47,134,2243,4,51,Female,79604,Silver,Debit Card,False,Buy One Get One,Rainy,False,Sunday,True,108,44
82,2870,8987,Colgate Mouthwash,Mouthwash,10,5.0,2024-05-26,3734,West Kim,435,38,271,2291,7,19,Other,73169,Silver,Cash,True,None,Sunny,False,Sunday,False,105,57
83,2566,9452,Colgate Toothpaste,Toothpaste,6,3.5,2024-07-20,2511,Lake Seanhaven,310,45,200,5010,7,52,Other,81594,Gold,Cash,True,None,Cloudy,False,Saturday,True,142,125
84,9024,411,Colgate Whitening Strips,Teeth Whitening,8,25.0,2023-11-19,4951,West Jessica,219,47,186,9606,10,45,Male,88069,Platinum,Credit Card,False,Discount,Rainy,False,Sunday,True,94,77
85,1708,2476,Colgate Toothbrush,Toothbrush,2,2.0,2024-02-26,6988,Marissamouth,368,45,272,6786,8,39,Other,90320,Platinum,Credit Card,True,Discount,Sunny,False,Monday,False,106,79
86,5573,9834,Colgate Toothpaste,Toothpaste,7,3.5,2023-08-15,650,Port Amber,425,38,111,2965,2,37,Other,92777,Gold,Debit Card,True,Buy One Get One,Cloudy,True,Tuesday,True,74,45
87,9755,2807,Colgate Mouthwash,Mouthwash,10,5.0,2023-11-06,9686,Tracytown,83,31,214,8752,5,33,Other,33440,Gold,Credit Card,True,Discount,Sunny,True,Monday,True,61,67
88,8459,8504,Colgate Mouthwash,Mouthwash,7,5.0,2024-12-14,5954,Lewisport,433,32,149,6948,5,28,Other,89920,Bronze,Cash,False,None,Sunny,True,Saturday,True,149,57
89,8249,9995,Colgate Whitening Strips,Teeth Whitening,6,25.0,2024-03-17,898,West Elizabethton,470,24,123,6500,8,58,Other,47847,Platinum,Cash,False,Discount,Rainy,False,Sunday,True,103,60
90,5126,7368,Colgate Whitening Strips,Teeth Whitening,8,25.0,2024-08-27,9664,South Christian,310,27,242,6609,13,57,Female,33688,Platinum,Credit Card,True,None,Sunny,False,Tuesday,False,116,106
91,254,1446,Colgate Mouthwash,Mouthwash,1,5.0,2024-08-18,9724,Darlenestad,465,42,264,9553,7,39,Female,111652,Silver,Mobile Payment,False,None,Rainy,False,Sunday,False,67,90
92,7466,3099,Colgate Mouthwash,Mouthwash,1,5.0,2024-10-03,5306,Katherinemouth,485,32,190,275,12,64,Female,55612,Gold,Credit Card,False,None,Rainy,False,Thursday,False,117,47
93,205,1533,Colgate Toothpaste,Toothpaste,8,3.5,2023-04-25,9607,North Daniel,355,33,284,2987,11,39,Female,93406,Bronze,Credit Card,True,None,Rainy,True,Tuesday,False,81,53
94,6444,8194,Colgate Toothpaste,Toothpaste,4,3.5,2023-06-29,4522,Lake Michaeltown,483,20,168,1011,14,39,Male,36724,Gold,Debit Card,False,None,Snowy,True,Thursday,False,130,103
95,2645,2468,Colgate Toothbrush,Toothbrush,1,2.0,2023-03-23,7705,Michaelville,421,21,252,3956,11,25,Male,119794,Bronze,Debit Card,True,Discount,Rainy,True,Thursday,False,108,112
96,1963,5049,Colgate Toothbrush,Toothbrush,2,2.0,2023-09-16,5405,Port Dakotabury,137,21,231,3572,2,19,Male,80858,Bronze,Cash,True,Buy One Get One,Sunny,True,Saturday,True,132,54
97,1990,4305,Colgate Mouthwash,Mouthwash,4,5.0,2024-11-16,2517,Wagnerport,434,37,298,67,12,30,Male,24282,Silver,Cash,True,Discount,Sunny,False,Saturday,False,131,66
98,8162,9910,Colgate Toothbrush,Toothbrush,1,2.0,2023-08-20,4842,New John,294,48,149,3058,5,55,Male,62106,Bronze,Debit Card,True,None,Rainy,True,Sunday,False,120,120
99,3207,7709,Colgate Whitening Strips,Teeth Whitening,3,25.0,2023-02-24,4871,Arnoldland,310,26,299,902,3,51,Female,44942,Bronze,Debit Card,True,Discount,Rainy,True,Friday,False,75,81
100,4837,3777,Colgate Mouthwash,Mouthwash,9,5.0,2023-10-02,3569,Lake Michelle,271,23,184,6737,13,30,Female,110753,Silver,Cash,False,Discount,Snowy,False,Monday,False,111,94
101,9194,7077,Colgate Toothpaste,Toothpaste,4,3.5,2024-05-22,8604,Bobbychester,212,42,107,1125,8,54,Other,30027,Platinum,Mobile Payment,True,Discount,Rainy,False,Wednesday,False,80,139
102,3071,8622,Colgate Mouthwash,Mouthwash,5,5.0,2023-03-26,4587,Jonesstad,173,44,282,4120,8,42,Other,21144,Gold,Debit Card,False,None,Rainy,True,Sunday,False,136,50
103,7702,8891,Colgate Toothpaste,Toothpaste,7,3.5,2024-03-28,2532,South Erin,248,47,297,4121,9,53,Other,44181,Silver,Cash,False,Buy One Get One,Sunny,True,Thursday,False,114,113
104,252,9753,Colgate Toothbrush,Toothbrush,5,2.0,2023-04-02,4355,Brooketown,213,33,172,5540,3,65,Male,41557,Platinum,Debit Card,False,None,Snowy,False,Sunday,True,111,52
105,5129,2328,Colgate Whitening Strips,Teeth Whitening,3,25.0,2023-12-13,1035,New Ashley,451,21,171,6218,7,36,Other,31075,Platinum,Mobile Payment,False,Buy One Get One,Cloudy,False,Wednesday,False,50,41
106,5847,1694,Colgate Mouthwash,Mouthwash,5,5.0,2023-03-21,3774,Cisnerosburgh,391,30,221,3891,12,49,Male,56941,Platinum,Credit Card,False,Buy One Get One,Sunny,True,Tuesday,False,129,47
107,4252,364,Colgate Toothpaste,Toothpaste,4,3.5,2024-01-22,751,Kennethhaven,198,41,266,198,8,32,Female,66761,Silver,Mobile Payment,True,None,Rainy,False,Monday,True,118,115
108,406,9832,Colgate Toothbrush,Toothbrush,10,2.0,2024-04-09,6475,Lake Christopher,84,29,286,9526,11,30,Other,53549,Silver,Cash,False,Discount,Cloudy,True,Tuesday,False,56,124
109,1606,8383,Colgate Whitening Strips,Teeth Whitening,7,25.0,2023-02-05,995,Zacharyport,459,23,230,1138,12,37,Female,39914,Silver,Credit Card,False,Discount,Snowy,False,Sunday,False,92,90
110,1730,9639,Colgate Mouthwash,Mouthwash,3,5.0,2023-01-18,5707,New Brian,186,34,190,610,9,64,Female,93959,Bronze,Mobile Payment,False,Discount,Sunny,True,Wednesday,False,119,60
111,750,488,Colgate Toothpaste,Toothpaste,5,3.5,2023-08-09,265,Nicoleside,135,38,287,3602,7,43,Male,79724,Gold,Cash,True,None,Sunny,True,Wednesday,False,102,83
112,5035,5040,Colgate Toothbrush,Toothbrush,1,2.0,2024-10-05,8342,Lake Theresaberg,238,49,194,3464,11,57,Male,97557,Bronze,Mobile Payment,True,Discount,Cloudy,True,Saturday,True,127,73
113,1739,3514,Colgate Mouthwash,Mouthwash,9,5.0,2023-04-17,685,Stevenshaven,56,29,184,7557,12,29,Other,31083,Silver,Debit Card,True,None,Cloudy,False,Monday,True,114,112
114,5055,1399,Colgate Whitening Strips,Teeth Whitening,3,25.0,2024-01-21,1856,Port Amanda,303,36,135,9365,14,67,Male,86267,Silver,Cash,False,Discount,Cloudy,True,Sunday,True,130,130
115,1504,8692,Colgate Toothpaste,Toothpaste,10,3.5,2024-11-12,5572,Melissatown,208,26,216,5950,7,48,Other,109517,Platinum,Debit Card,False,Buy One Get One,Sunny,True,Tuesday,False,60,93
116,9927,5053,Colgate Toothpaste,Toothpaste,3,3.5,2023-10-06,7687,East Jennifer,302,25,191,7528,7,28,Other,68506,Silver,Cash,True,Discount,Sunny,False,Friday,True,54,53
117,6330,2090,Colgate Toothbrush,Toothbrush,4,2.0,2023-01-30,7252,Wattsfort,192,42,247,9429,10,57,Male,64440,Silver,Credit Card,False,Buy One Get One,Snowy,True,Monday,True,121,91
118,7151,4087,Colgate Toothbrush,Toothbrush,5,2.0,2023-07-11,6054,Millstown,74,28,195,4366,9,24,Other,69149,Platinum,Mobile Payment,True,None,Snowy,True,Tuesday,True,128,110
119,4144,6690,Colgate Toothbrush,Toothbrush,2,2.0,2023-08-13,7144,Port Kevin,226,26,234,7016,7,24,Other,54948,Platinum,Credit Card,True,None,Cloudy,False,Sunday,True,144,121
120,9974,8266,Colgate Toothpaste,Toothpaste,5,3.5,2023-03-06,3883,Stevensonhaven,326,41,285,3074,5,37,Male,46708,Bronze,Mobile Payment,True,Discount,Cloudy,False,Monday,True,108,65
121,3454,2539,Colgate Toothbrush,Toothbrush,10,2.0,2024-04-03,6481,New David,264,32,178,8715,5,38,Female,115863,Silver,Credit Card,True,Discount,Snowy,False,Wednesday,True,108,101
122,1561,7345,Colgate Mouthwash,Mouthwash,2,5.0,2023-08-24,7459,Starkmouth,188,41,263,1677,13,24,Male,111964,Gold,Debit Card,True,Buy One Get One,Snowy,True,Thursday,True,83,101
123,2635,7105,Colgate Mouthwash,Mouthwash,10,5.0,2023-09-03,2998,West Kristie,71,36,224,2401,13,64,Female,115620,Gold,Mobile Payment,True,Buy One Get One,Sunny,False,Sunday,False,148,43
124,173,8861,Colgate Toothpaste,Toothpaste,4,3.5,2025-01-05,6080,Shannonfort,143,31,158,3916,5,26,Female,103874,Bronze,Cash,True,Discount,Sunny,True,Sunday,True,83,94
125,6370,5042,Colgate Toothbrush,Toothbrush,1,2.0,2024-07-13,6140,Williamburgh,155,21,285,2575,4,66,Female,61784,Platinum,Debit Card,True,Buy One Get One,Cloudy,True,Saturday,True,90,43
126,1737,3521,Colgate Whitening Strips,Teeth Whitening,7,25.0,2023-09-17,5924,Oliverview,468,36,237,9785,9,66,Female,101331,Silver,Mobile Payment,False,Buy One Get One,Cloudy,True,Sunday,False,138,79
127,3582,4985,Colgate Toothbrush,Toothbrush,7,2.0,2024-06-28,5625,North Carrie,399,32,136,4582,5,58,Female,45719,Platinum,Cash,True,Discount,Sunny,False,Friday,False,92,121
128,2464,3217,Colgate Toothpaste,Toothpaste,3,3.5,2023-04-14,3153,Jenniferborough,401,45,277,2115,10,66,Female,101925,Gold,Credit Card,False,Discount,Rainy,True,Friday,True,95,62
129,1243,355,Colgate Toothpaste,Toothpaste,7,3.5,2024-04-14,3509,North Debbieland,407,36,252,7852,12,27,Female,40645,Silver,Debit Card,False,Discount,Rainy,False,Sunday,False,96,61
130,9030,3192,Colgate Toothbrush,Toothbrush,4,2.0,2024-02-23,4591,Jeffreyhaven,445,25,270,2725,9,24,Male,70946,Silver,Credit Card,False,Discount,Rainy,False,Friday,True,94,92
131,9887,4624,Colgate Whitening Strips,Teeth Whitening,9,25.0,2023-02-15,6607,Olsonville,173,49,213,5543,6,39,Female,117657,Bronze,Credit Card,False,Discount,Sunny,True,Wednesday,True,122,93
132,1187,6545,Colgate Toothpaste,Toothpaste,2,3.5,2024-06-03,2248,West Juliehaven,359,40,146,1108,9,34,Male,110473,Silver,Credit Card,True,Discount,Sunny,True,Monday,True,98,94
